Adjetivo,Freq_Dependencia,Freq_Ventana,Diferencia_Abs,Ratio_Ventana/Dependencia,Porcentaje_Dependencia,Porcentaje_Ventana
español,419,493,74,1.18,10.02,5.24
popular,210,293,83,1.40,5.02,3.11
moderno,199,237,38,1.19,4.76,2.52
francés,170,200,30,1.18,4.07,2.12
ligero,123,139,16,1.13,2.94,1.48
contemporáneo,123,128,5,1.04,2.94,1.36
nuevo,78,164,86,2.10,1.87,1.74
actual,101,126,25,1.25,2.42,1.34
ruso,84,105,21,1.25,2.01,1.12
sinfónico,78,104,26,1.33,1.87,1.10
instrumental,82,96,14,1.17,1.96,1.02
gran,19,150,131,7.89,0.45,1.59
clásico,55,79,24,1.44,1.32,0.84
religioso,56,76,20,1.36,1.34,0.81
buen,39,86,47,2.21,0.93,0.91
nacional,41,64,23,1.56,0.98,0.68
teatral,40,64,24,1.60,0.96,0.68
viejo,37,59,22,1.59,0.88,0.63
puro,37,59,22,1.59,0.88,0.63
primero,3,92,89,30.67,0.07,0.98
romántico,31,60,29,1.94,0.74,0.64
negro,41,49,8,1.20,0.98,0.52
variado,38,52,14,1.37,0.91,0.55
lleno,26,63,37,2.42,0.62,0.67
antiguo,37,52,15,1.41,0.88,0.55
joven,30,53,23,1.77,0.72,0.56
europeo,34,46,12,1.35,0.81,0.49
fácil,33,47,14,1.42,0.79,0.50
bello,28,51,23,1.82,0.67,0.54
mejor,17,54,37,3.18,0.41,0.57
alto,9,61,52,6.78,0.22,0.65
natural,28,40,12,1.43,0.67,0.42
vocal,31,35,4,1.13,0.74,0.37
dramático,22,43,21,1.95,0.53,0.46
rico,14,50,36,3.57,0.33,0.53
admirable,17,41,24,2.41,0.41,0.44
oficial,13,43,30,3.31,0.31,0.46
orquestal,20,34,14,1.70,0.48,0.36
último,1,52,51,52.00,0.02,0.55
extranjero,14,38,24,2.71,0.33,0.40
escrito,18,33,15,1.83,0.43,0.35
deliciós,21,29,8,1.38,0.50,0.31
italiano,18,31,13,1.72,0.43,0.33
fino,16,31,15,1.94,0.38,0.33
americano,20,27,7,1.35,0.48,0.29
alemán,18,28,10,1.56,0.43,0.30
dedicado,4,41,37,10.25,0.10,0.44
musical,2,43,41,21.50,0.05,0.46
general,3,41,38,13.67,0.07,0.44
andaluz,19,24,5,1.26,0.45,0.25
mayor,0,43,43,inf,0.00,0.46
alegre,14,27,13,1.93,0.33,0.29
selecto,18,22,4,1.22,0.43,0.23
grande,4,35,31,8.75,0.10,0.37
exótico,10,29,19,2.90,0.24,0.31
característico,3,35,32,11.67,0.07,0.37
inspirado,6,31,25,5.17,0.14,0.33
conocido,9,27,18,3.00,0.22,0.29
serio,16,20,4,1.25,0.38,0.21
claro,12,24,12,2.00,0.29,0.25
suave,12,23,11,1.92,0.29,0.24
interpretado,15,20,5,1.33,0.36,0.21
principal,0,33,33,inf,0.00,0.35
flamenco,7,26,19,3.71,0.17,0.28
notable,3,29,26,9.67,0.07,0.31
concertado,16,16,0,1.00,0.38,0.17
pianístico,14,18,4,1.29,0.33,0.19
mismo,5,26,21,5.20,0.12,0.28
gracioso,10,21,11,2.10,0.24,0.22
agradable,11,20,9,1.82,0.26,0.21
original,7,24,17,3.43,0.17,0.25
verdadero,6,24,18,4.00,0.14,0.25
típico,3,27,24,9.00,0.07,0.29
anterior,10,20,10,2.00,0.24,0.21
hecho,10,20,10,2.00,0.24,0.21
vasco,11,18,7,1.64,0.26,0.19
oriental,8,21,13,2.62,0.19,0.22
pintoresco,5,24,19,4.80,0.12,0.25
llamado,8,21,13,2.62,0.19,0.22
propio,4,24,20,6.00,0.10,0.25
poético,8,20,12,2.50,0.19,0.21
fresco,7,20,13,2.86,0.17,0.21
madrileño,3,23,20,7.67,0.07,0.24
perfecto,2,24,22,12.00,0.05,0.25
famoso,1,25,24,25.00,0.02,0.27
segundo,0,26,26,inf,0.00,0.28
catalán,12,13,1,1.08,0.29,0.14
bailable,12,13,1,1.08,0.29,0.14
polifónico,13,12,-1,0.92,0.31,0.13
inglés,9,16,7,1.78,0.22,0.17
delicado,6,19,13,3.17,0.14,0.20
regional,11,14,3,1.27,0.26,0.15
coral,12,13,1,1.08,0.29,0.14
fuerte,3,22,19,7.33,0.07,0.23
escénico,9,15,6,1.67,0.22,0.16
nacionalista,7,16,9,2.29,0.17,0.17
concebido,7,16,9,2.29,0.17,0.17
pequeño,2,21,19,10.50,0.05,0.22
especial,3,20,17,6.67,0.07,0.21
universal,7,15,8,2.14,0.17,0.16
importante,1,21,20,21.00,0.02,0.22
profundo,0,22,22,inf,0.00,0.23
profano,10,12,2,1.20,0.24,0.13
acompañado,3,18,15,6.00,0.07,0.19
vivo,5,16,11,3.20,0.12,0.17
norteamericano,8,13,5,1.62,0.19,0.14
basado,2,19,17,9.50,0.05,0.20
semejante,3,18,15,6.00,0.07,0.19
pasado,2,19,17,9.50,0.05,0.20
mozartián,10,10,0,1.00,0.24,0.11
elegante,9,11,2,1.22,0.22,0.12
transmitido,6,14,8,2.33,0.14,0.15
titulado,2,18,16,9.00,0.05,0.19
gramofónico,9,11,2,1.22,0.22,0.12
wagnerián,10,10,0,1.00,0.24,0.11
interesante,1,19,18,19.00,0.02,0.20
peculiar,2,17,15,8.50,0.05,0.18
entero,4,15,11,3.75,0.10,0.16
noruego,8,11,3,1.38,0.19,0.12
sencillo,8,11,3,1.38,0.19,0.12
libre,5,14,9,2.80,0.12,0.15
hispanoamericán,9,10,1,1.11,0.22,0.11
tradicional,6,12,6,2.00,0.14,0.13
dicho,4,14,10,3.50,0.10,0.15
frívolo,8,10,2,1.25,0.19,0.11
occidental,7,11,4,1.57,0.17,0.12
deportivo,0,18,18,inf,0.00,0.19
indígén,9,9,0,1.00,0.22,0.10
germánico,9,9,0,1.00,0.22,0.10
dirigido,3,14,11,4.67,0.07,0.15
disfrazado,7,10,3,1.43,0.17,0.11
único,4,13,9,3.25,0.10,0.14
chispeante,7,10,3,1.43,0.17,0.11
simple,5,12,7,2.40,0.12,0.13
compuesto,5,12,7,2.40,0.12,0.13
magnífico,3,14,11,4.67,0.07,0.15
distinto,4,13,9,3.25,0.10,0.14
apasionado,6,11,5,1.83,0.14,0.12
excelente,4,13,9,3.25,0.10,0.14
próximo,0,17,17,inf,0.00,0.18
militar,8,9,1,1.12,0.19,0.10
lírico,0,16,16,inf,0.00,0.17
cálido,8,8,0,1.00,0.19,0.08
infantil,6,10,4,1.67,0.14,0.11
genial,0,16,16,inf,0.00,0.17
lejano,4,12,8,3.00,0.10,0.13
lindo,5,11,6,2.20,0.12,0.12
cubano,7,9,2,1.29,0.17,0.10
gallego,7,8,1,1.14,0.17,0.08
árabe,6,9,3,1.50,0.14,0.10
malo,7,8,1,1.14,0.17,0.08
intenso,3,12,9,4.00,0.07,0.13
celestial,6,9,3,1.50,0.14,0.10
trazado,0,15,15,inf,0.00,0.16
limpio,6,9,3,1.50,0.14,0.10
posible,2,13,11,6.50,0.05,0.14
castizo,6,9,3,1.50,0.14,0.10
distinguido,6,8,2,1.33,0.14,0.08
digno,4,10,6,2.50,0.10,0.11
argentino,6,8,2,1.33,0.14,0.08
difícil,1,13,12,13.00,0.02,0.14
maravilloso,3,11,8,3.67,0.07,0.12
asturiano,7,7,0,1.00,0.17,0.07
representativo,1,13,12,13.00,0.02,0.14
hermoso,0,13,13,inf,0.00,0.14
grata,4,9,5,2.25,0.10,0.10
húngaro,6,7,1,1.17,0.14,0.07
reciente,1,12,11,12.00,0.02,0.13
ilustre,0,13,13,inf,0.00,0.14
radiogénico,6,7,1,1.17,0.14,0.07
publicado,5,8,3,1.60,0.12,0.08
tocado,6,7,1,1.17,0.14,0.07
abundante,5,8,3,1.60,0.12,0.08
posterior,5,8,3,1.60,0.12,0.08
elevado,1,12,11,12.00,0.02,0.13
bailabl,6,7,1,1.17,0.14,0.07
espléndido,2,11,9,5.50,0.05,0.12
cómico,1,11,10,11.00,0.02,0.12
eléctrico,5,7,2,1.40,0.12,0.07
brillante,3,9,6,3.00,0.07,0.10
artístico,1,11,10,11.00,0.02,0.12
