Periodo_1,Periodo_2,Periodo_3
española: 55,española: 162,española: 125
moderna: 50,contemporánea: 73,nacional: 78
nacional: 40,nuestra: 71,moderna: 46
francesa: 37,moderna: 56,nuestra: 42
nuestra: 31,actual: 49,popular: 33
popular: 30,francesa: 42,contemporánea: 31
nueva: 27,popular: 36,nueva: 24
contemporánea: 26,nacional: 27,actual: 24
actual: 21,instrumental: 27,francesa: 23
pura: 12,buena: 25,gran: 17
órgano: 10,rusa: 23,antigua: 14
romántica: 10,nueva: 20,vieja: 12
rusa: 9,gran: 20,instrumental: 12
antigua: 8,negra: 19,vocal: 12
clásica: 7,aficionados: 17,sinfónica: 11
instrumental: 7,sinfónica: 15,dedicado: 10
gran: 7,vieja: 15,clásica: 9
sinfónica: 7,esas: 13,aficionados: 9
dedicado: 7,vocal: 11,nuestros: 9
teatral: 6,antigua: 11,religiosa: 9
