Periodo_1,Periodo_2,Periodo_3
popular: 46,española: 53,variada: 156
ligera: 44,popular: 49,ligera: 71
española: 42,francesa: 31,española: 33
francesa: 28,moderna: 24,popular: 29
variada: 22,sinfónica: 22,sinfónica: 12
rusa: 21,contemporánea: 21,moderna: 12
moderna: 20,nuestra: 18,gran: 11
religiosa: 20,ligera: 18,selecta: 11
clásica: 18,nacional: 17,contemporánea: 10
sinfónica: 17,llena: 15,instrumental: 10
teatral: 16,instrumental: 14,francesa: 8
contemporánea: 15,religiosa: 13,concertada: 8
instrumental: 14,rusa: 13,actual: 7
nacional: 10,gran: 11,rusa: 7
mozartiana: 8,clásica: 10,cubana: 7
gran: 8,vienesa: 10,nacional: 6
noruega: 8,nueva: 9,pura: 6
nuestra: 7,teatral: 8,clásica: 6
negra: 7,actual: 7,radiogénica: 6
escrita: 7,característico: 7,religiosa: 5
