ONDAS_adj,ONDAS_freq,ElSol_adj,ElSol_freq,España_adj,España_freq
española,240,moderna,7,popular,26
popular,231,española,4,moderna,23
ligera,219,teatral,4,española,22
francesa,129,viejas,3,rusa,20
moderna,114,nacional,2,nueva,16
sinfónica,104,bohemia,2,actual,12
contemporánea,87,occidental,2,buena,11
religiosa,81,natural,2,pura,9
rusa,79,checa,2,teatral,8
variada,77,heredada,2,asturiana,8
instrumental,76,vocal,2,músicas,8
clásica,69,estudiosos,2,flamenca,8
llena,59,nerviosa,2,vocal,7
teatral,53,orquestal,2,vasca,7
fácil,52,escénica,2,antigua,6
gran,49,centroeuropea,2,alegre,6
actual,40,frecuente,2,interior,6
nueva,37,profana,2,inglesa,6
selecta,30,francesa,2,instrumental,6
escrita,29,rusa,2,italiana,6
nacional,27,evocativas,2,nacional,5
negra,26,perfecta,2,trascendental,5
alegre,21,soberbia,2,dulce,5
deliciosa,21,nacionales,1,entusiasmado,4
bailable,20,buenas,1,celestial,4
orquestal,20,arábiga,1,francesa,4
dramática,19,total,1,llena,4
suave,19,ideal,1,sagrada,4
populares,18,retirada,1,alemana,4
mozartiana,18,dilatada,1,callada,4
