Adjetivo,Polaridad,Frecuencia_Total,Nivel_1,Nivel_2,Nivel_3,Porcentaje_del_Total
notable,POSITIVA,277,3,274,0,11.28
grande,POSITIVA,264,4,263,0,10.75
mejor,POSITIVA,146,17,133,0,5.94
admirable,POSITIVA,135,16,119,0,5.5
magnífico,POSITIVA,133,3,130,0,5.42
bello,POSITIVA,125,25,102,0,5.09
interesante,POSITIVA,111,1,110,0,4.52
excelente,POSITIVA,97,3,94,0,3.95
celebrado,POSITIVA,93,0,94,0,3.79
genial,POSITIVA,74,0,74,0,3.01
extraordinario,POSITIVA,69,1,68,0,2.81
inspirado,POSITIVA,57,6,51,0,2.32
original,POSITIVA,50,3,47,0,2.04
selecto,POSITIVA,48,18,30,0,1.95
perfecto,POSITIVA,46,2,46,0,1.87
hermoso,POSITIVA,44,0,44,0,1.79
espléndido,POSITIVA,42,2,40,0,1.71
distinguido,POSITIVA,37,2,36,0,1.51
brillante,POSITIVA,36,2,34,0,1.47
fino,POSITIVA,36,15,21,0,1.47
maravilloso,POSITIVA,31,2,29,0,1.26
precioso,POSITIVA,27,2,25,0,1.1
soberbio,POSITIVA,27,2,25,0,1.1
aplaudido,POSITIVA,26,0,26,0,1.06
exquisito,POSITIVA,19,2,17,0,0.77
fuerte,POSITIVA,18,1,17,0,0.73
destacado,POSITIVA,18,0,18,0,0.73
glorioso,POSITIVA,17,0,17,0,0.69
alto,POSITIVA,16,10,6,0,0.65
ideal,POSITIVA,15,1,15,0,0.61
excepcional,POSITIVA,14,1,13,0,0.57
intenso,POSITIVA,13,3,10,0,0.53
curioso,POSITIVA,13,1,12,0,0.53
delicioso,POSITIVA,13,0,13,0,0.53
sugestivo,POSITIVA,12,1,11,0,0.49
encantador,POSITIVA,12,4,8,0,0.49
insuperable,POSITIVA,8,0,8,0,0.33
memorable,POSITIVA,7,0,7,0,0.29
logrado,POSITIVA,6,0,6,0,0.24
magistral,POSITIVA,6,0,6,0,0.24
profundo,POSITIVA,6,0,6,0,0.24
preciso,POSITIVA,6,0,7,0,0.24
sublime,POSITIVA,6,0,6,0,0.24
elegante,POSITIVA,6,5,1,0,0.24
sentido,POSITIVA,5,2,3,0,0.2
superior,POSITIVA,5,3,2,0,0.2
conseguido,POSITIVA,5,0,5,0,0.2
acabado,POSITIVA,5,0,5,0,0.2
cuidado,POSITIVA,4,0,4,0,0.16
aclamado,POSITIVA,3,0,3,0,0.12
correcto,POSITIVA,3,1,2,0,0.12
bueno,POSITIVA,3,0,3,0,0.12
exacto,POSITIVA,3,0,3,0,0.12
depurado,POSITIVA,2,1,1,0,0.08
vigoroso,POSITIVA,2,0,2,0,0.08
vulgar,POSITIVA,2,0,3,0,0.08
impecable,POSITIVA,2,0,2,0,0.08
potente,POSITIVA,2,0,2,0,0.08
triunfal,POSITIVA,2,0,2,0,0.08
triunfante,POSITIVA,2,0,2,0,0.08
vibrante,POSITIVA,2,1,1,0,0.08
emotivo,POSITIVA,1,0,1,0,0.04
apasionado,POSITIVA,1,0,1,0,0.04
novedoso,POSITIVA,1,0,1,0,0.04
refinado,POSITIVA,1,1,0,0,0.04
pasado,NEGATIVA,20,2,18,0,0.81
malo,NEGATIVA,15,6,9,0,0.61
corriente,NEGATIVA,14,0,14,0,0.57
pobre,NEGATIVA,11,0,11,0,0.45
escaso,NEGATIVA,9,3,6,0,0.37
reducido,NEGATIVA,7,1,6,0,0.29
mediocre,NEGATIVA,7,3,4,0,0.29
gris,NEGATIVA,5,2,3,0,0.2
mejor,NEGATIVA,4,17,133,0,0.16
ordinario,NEGATIVA,4,1,3,0,0.16
grande,NEGATIVA,3,4,263,0,0.12
convencional,NEGATIVA,3,0,3,0,0.12
limitado,NEGATIVA,3,0,3,0,0.12
imperfecto,NEGATIVA,2,0,2,0,0.08
perfecto,NEGATIVA,2,2,46,0,0.08
bello,NEGATIVA,2,25,102,0,0.08
excesivo,NEGATIVA,2,0,2,0,0.08
feo,NEGATIVA,2,2,0,0,0.08
equivocado,NEGATIVA,2,0,2,0,0.08
deficiente,NEGATIVA,2,0,2,0,0.08
ideal,NEGATIVA,1,1,15,0,0.04
débil,NEGATIVA,1,0,1,0,0.04
manido,NEGATIVA,1,0,1,0,0.04
soporífero,NEGATIVA,1,0,1,0,0.04
común,NEGATIVA,1,0,1,0,0.04
desagradable,NEGATIVA,1,0,1,0,0.04
triste,NEGATIVA,1,0,1,0,0.04
vulgar,NEGATIVA,1,0,3,0,0.04
distinguido,NEGATIVA,1,2,36,0,0.04
pesado,NEGATIVA,1,0,1,0,0.04
celebrado,NEGATIVA,1,0,94,0,0.04
cansado,NEGATIVA,1,0,1,0,0.04
flojo,NEGATIVA,1,0,1,0,0.04
tosco,NEGATIVA,1,1,0,0,0.04
preciso,NEGATIVA,1,0,7,0,0.04
monótono,NEGATIVA,1,1,0,0,0.04
anticuado,NEGATIVA,1,1,0,0,0.04
anodino,NEGATIVA,1,1,0,0,0.04
defectuoso,NEGATIVA,1,0,1,0,0.04
